Indicador;Data;Media;Mediana;DesvioPadrao;Minimo;Maximo
IGP-DI;2020-08-03;5,05;4,9;1,15;3,38;6,89
IGP-DI;2020-08-03;3,8;4,01;0,94;1,48;5,19
IGP-DI;2020-08-04;5,05;4,9;1,15;3,38;6,89
IGP-DI;2020-08-04;3,76;3,97;0,94;1,41;5,13
IGP-DI;2020-08-05;5,07;5,04;1,15;3,38;6,89
IGP-DI;2020-08-05;3,72;3,94;0,94;1,34;5,06
IGP-DI;2020-08-06;3,81;3,94;1,07;1,34;6,13
IGP-DI;2020-08-06;3,8;3,94;1,11;1,38;6,11
IGP-DI;2020-08-07;4,01;4,13;1,01;1,34;6,13
IGP-DI;2020-08-07;4,01;4,25;1,04;1,42;6,08
IGP-DI;2020-08-10;4,01;4,13;1,01;1,34;6,13
IGP-DI;2020-08-10;3,99;4,24;1,01;1,54;6,01
IGP-DI;2020-08-11;4,01;4,13;1,01;1,34;6,13
IGP-DI;2020-08-11;3,98;4,22;1;1,58;5,98
IGP-DI;2020-08-12;4,09;4,13;1,04;1,34;6,13
IGP-DI;2020-08-12;4,04;4,2;1,02;1,62;5,96
IGP-DI;2020-08-13;4,09;4,13;1,04;1,34;6,13
IGP-DI;2020-08-13;4,03;4,18;1,01;1,66;5,93
IGP-DI;2020-08-14;4,28;4,13;1,07;2,45;6,56
IGP-DI;2020-08-14;4,17;4,16;1,04;2,37;6,16
IGP-DI;2020-08-17;4,3;4,13;1,07;2,45;6,56
IGP-DI;2020-08-17;4,14;4,11;1,03;2,34;6,03
IGP-DI;2020-08-18;4,46;4,13;1,29;2,45;7,25
IGP-DI;2020-08-18;4,24;4,09;1,15;2,33;6,48
IGP-DI;2020-08-19;4,5;4,3;1,29;2,45;7,25
IGP-DI;2020-08-19;4,25;4,14;1,12;2,32;6,42
IGP-DI;2020-08-20;4,5;4,3;1,29;2,45;7,25
IGP-DI;2020-08-20;4,22;4,09;1,11;2,31;6,36
IGP-DI;2020-08-21;4,75;4,51;1,42;2,45;7,25
IGP-DI;2020-08-21;4,37;4,37;1,15;2,3;6,31
IGP-DI;2020-08-24;5,28;5,34;1,46;2,53;8,16
IGP-DI;2020-08-24;4,7;4,79;1,02;2,29;6,32
IGP-DI;2020-08-25;5,18;5,06;1,48;2,53;8,16
IGP-DI;2020-08-25;4,59;4,75;1,01;2,27;6,22
